순위,주차,교육과정,교과목,종합점수,준비성,전문성,전달력,열의성
1위,5월5주차,7·8급 승진자 역량향상 과정,보도자료 작성실무,5,5,5,5,5
1위,5월5주차,7·8급 승진자 역량향상 과정,스트레칭과 싱잉볼 명상,5,5,5,5,5
1위,5월5주차,7·8급 승진자 역량향상 과정,소통을 위한 대화기술 및 공감기법,5,5,5,5,5
1위,2월5주차,과장급 필수 역량향상 과정,신임과장으로서 비전 만들기,5,5,5,5,5
1위,5월1주차,명품 스피치 과정,신뢰감을 주는 스피치 기법,5,5,5,5,5
1위,4월4주차,중견리더 과정(10주차),영어,5,5,5,5,5
1위,4월4주차,중견리더 과정(10주차),탁구,5,5,5,5,5
1위,5월2주차,중견리더 과정(12주차),영어,5,5,5,5,5
1위,5월3주차,중견리더 과정(13주차),영어,5,5,5,5,5
1위,5월3주차,중견리더 과정(13주차),분임토의,5,5,5,5,5
1위,6월1주차,중견리더 과정(16주차),미술,5,5,5,5,5
1위,6월3주차,중견리더 과정(18주차),미술,5,5,5,5,5
1위,6월4주차,중견리더 과정(19주차),스포츠댄스,5,5,5,5,5
1위,7월2주차,중견리더 과정(21주차),스포츠댄스,5,5,5,5,5
1위,7월2주차,중견리더 과정(21주차),영어,5,5,5,5,5
1위,7월3주차,중견리더 과정(22주차),영어,5,5,5,5,5
1위,3월3주차,중견리더 과정(4주차),영어,5,5,5,5,5
1위,3월4주차,중견리더 과정(5주차),영어,5,5,5,5,5
1위,4월1주차,중견리더 과정(7주차),영어,5,5,5,5,5
1위,4월1주차,중견리더 과정(7주차),스포츠댄스,5,5,5,5,5
1위,4월2주차,중견리더 과정(8주차),영어,5,5,5,5,5
1위,5월4주차,지속가능발전 목표 이행 과정,지속가능발전 보고서 작성을 위한 성과지표 관리,5,5,5,5,5
23위,5월1주차,명품 스피치 과정,기본 보이스 트레이닝,4.9861,5,5,4.9444,5
24위,5월1주차,명품 스피치 과정,목소리 진단 및 실습,4.9722,5,4.9444,5,4.9444
