순위,주차,일정,교육구분,기수,교육과정,교육장소,교육전반 만족도,역량향상도,현업적용도,교과편성,강사선정,교육기간,교육방법,교육지원 만족도,교육지원,강사강의 만족도,종합만족도
1위,3월3주차,"3.13.~3.14,",기본(기본),1,"세대와 마음을 잇는 소통 ON, 공감 UP",현장캠퍼스,4.89 ,4.89 ,4.89 ,4.89 ,4.89 ,4.89 ,4.89 ,4.89 ,4.89 ,4.93 ,4.89 
2위,4월4주차,4.23.~4.25.,핵심(디지털),1,1인 방송과 영상제작 과정,인재개발원,4.93 ,4.89 ,4.86 ,4.93 ,4.96 ,4.79 ,4.93 ,4.93 ,4.93 ,4.95 ,4.88 
3위,7월4주차,7.23.~7.25.,핵심(디지털),2,생성형 AI 실습 과정,인재개발원,4.96 ,4.92 ,4.92 ,4.92 ,5.00 ,4.58 ,4.96 ,4.96 ,4.96 ,4.96 ,4.87 
4위,4월3주차,4.15.~4.18.,직무(인문·소양),1,경남의 섬 과정,현장캠퍼스,4.77 ,4.87 ,4.77 ,4.83 ,4.87 ,4.80 ,4.80 ,4.85 ,4.90 ,4.92 ,4.84 
5위,5월4주차,5.21.~5.23.,기본(기본),1,드론 이해와 실전 활용 과정,현장캠퍼스,4.89 ,4.78 ,4.67 ,4.89 ,4.83 ,4.83 ,4.83 ,4.89 ,4.89 ,4.89 ,4.83 
6위,6월3주차,6.19.,핵심(디지털),1,파워포인트 활용 과정,인재개발원,4.92 ,4.88 ,4.81 ,4.85 ,4.88 ,4.85 ,4.77 ,4.77 ,4.77 ,4.89 ,4.82 
7위,5월5주차,5.27.~5.30.,기본(기본),3,7·8급 승진자 역량향상 과정,인재개발원,4.90 ,4.80 ,4.80 ,4.90 ,4.90 ,4.80 ,5.00 ,4.90 ,4.90 ,4.93 ,4.82 
8위,3월3주차,3.12.~3.14.,직무(인문·소양),1,승마 과정,현장캠퍼스,4.89 ,4.94 ,4.89 ,4.78 ,4.89 ,4.39 ,4.72 ,4.86 ,4.83 ,4.87 ,4.80 
9위,4월2주차,4.10.~4.11.,직무(공통),1,소통의 고수! 민원응대 스킬업 과정,인재개발원,4.86 ,4.79 ,4.86 ,4.79 ,4.79 ,4.64 ,4.79 ,4.86 ,4.86 ,4.82 ,4.80 
10위,6월2주차,6.12.~6.13.,직무(공통),1,디지털 행정서비스 과정,인재개발원,4.86 ,4.86 ,4.86 ,4.86 ,4.91 ,4.77 ,4.86 ,4.84 ,4.82 ,4.91 ,4.80 
11위,5월2주차,5.8.~5.9.,기본(리더십),1,코칭 리더십 과정,현장캠퍼스,4.93 ,4.71 ,4.64 ,4.64 ,4.93 ,4.79 ,4.86 ,4.89 ,4.93 ,4.89 ,4.79 
12위,5월3주차,5.14.~5.16.,기본(기본),2,가야사 바로알기 과정,현장캠퍼스,4.85 ,4.81 ,4.73 ,4.85 ,4.85 ,4.69 ,4.81 ,4.85 ,4.85 ,4.55 ,4.79 
13위,5월5주차,5.27.~5.30.,직무(인문·소양),2,경남의 섬 과정,현장캠퍼스,4.83 ,4.70 ,4.53 ,4.80 ,4.83 ,4.77 ,4.80 ,4.88 ,4.87 ,4.80 ,4.78 
14위,6월3주차,6.18.~6.20.,핵심(핵심과제),1,MICE 사업 유치 역량 강화 과정,인재개발원,4.83 ,4.83 ,4.67 ,4.83 ,4.83 ,4.83 ,4.83 ,4.75 ,4.83 ,4.83 ,4.78 
15위,5월1주차,4.21.~5.2.,직무(인문·소양),1,미래설계 과정,인재개발원,4.82 ,4.72 ,4.69 ,4.72 ,4.77 ,4.80 ,4.83 ,4.91 ,4.92 ,4.65 ,4.78 
16위,2월5주차,2.25.,직무(전문),1,식품 위생감시원 직무교육 과정,인재개발원,4.90 ,4.81 ,4.81 ,4.77 ,4.90 ,4.71 ,4.81 ,4.71 ,4.77 ,4.93 ,4.77 
17위,5월2주차,5.7.~5.9.,직무(인문·소양),1,지리산 천왕봉 힐링 과정,현장캠퍼스,4.90 ,4.83 ,4.55 ,4.79 ,4.83 ,4.72 ,4.69 ,4.79 ,4.76 ,4.77 ,4.76 
18위,4월3주차,4.17.~4.18.,핵심(핵심과제),1,다문화와 사회통합 교육 과정,인재개발원,4.75 ,4.63 ,4.50 ,5.00 ,4.88 ,4.75 ,4.88 ,4.81 ,4.63 ,4.84 ,4.76 
19위,2월5주차,2.25.~2.28.,기본(리더십),1,과장급 필수 역량향상 과정,인재개발원,4.80 ,4.80 ,4.80 ,4.70 ,4.55 ,4.60 ,4.70 ,4.88 ,4.90 ,4.76 ,4.75 
20위,3월3주차,3.12.~3.14.,핵심(디지털),1,생성형 AI 실습 과정,인재개발원,4.90 ,4.90 ,4.83 ,4.72 ,4.83 ,4.48 ,4.76 ,4.78 ,4.79 ,4.89 ,4.74 
21위,5월5주차,5.19.~5.30.,직무(인문·소양),2,미래설계 과정,인재개발원,4.87 ,4.79 ,4.48 ,4.77 ,4.73 ,4.75 ,4.75 ,4.82 ,4.83 ,4.69 ,4.74 
22위,5월2주차,5.8.~5.9.,기본(기본),2,"세대와 마음을 잇는 소통 ON, 공감 UP",현장캠퍼스,4.75 ,4.67 ,4.67 ,4.67 ,4.75 ,4.75 ,4.75 ,4.71 ,4.67 ,4.74 ,4.72 
23위,5월4주차,5.22.~5.23.,직무(공통),1,홍보실무 과정,인재개발원,4.91 ,4.82 ,4.73 ,4.73 ,4.82 ,4.73 ,4.73 ,4.73 ,4.73 ,4.68 ,4.72 
24위,4월2주차,4.9.~4.11.,핵심(디지털),1,스마트기기 활용 과정,인재개발원,4.77 ,4.62 ,4.73 ,4.73 ,4.81 ,4.65 ,4.62 ,4.81 ,4.81 ,4.80 ,4.71 
25위,5월4주차,5.21.~5.23.,직무(전문),1,지속가능발전 목표 이행 과정,인재개발원,4.75 ,4.63 ,4.75 ,4.63 ,4.88 ,4.50 ,4.50 ,4.88 ,4.88 ,4.78 ,4.70 
26위,4월1주차,4.2.~4.4.,직무(인문·소양),1,가야사 바로알기 과정,현장캠퍼스,4.82 ,4.82 ,4.09 ,4.82 ,4.91 ,4.73 ,4.73 ,4.73 ,4.73 ,4.66 ,4.70 
27위,7월2주차,7.9.~7.11.,핵심(디지털),2,스마트기기 활용 과정,인재개발원,4.70 ,4.58 ,4.46 ,4.67 ,4.79 ,4.71 ,4.58 ,4.77 ,4.75 ,4.84 ,4.69 
28위,5월5주차,5.27.~5.30.,기본(리더십),2,과장급 필수 역량향상 과정,인재개발원,4.89 ,4.78 ,4.61 ,4.67 ,4.61 ,4.56 ,4.72 ,4.75 ,4.72 ,4.71 ,4.68 
29위,2월5주차,2.25.~2.28.,기본(기본),1,7·8급 승진자 역량향상 과정,인재개발원,4.74 ,4.61 ,4.52 ,4.61 ,4.57 ,4.74 ,4.70 ,4.80 ,4.83 ,4.60 ,4.68 
30위,3월5주차,3.25.~3.28.,기본(기본),1,6급 승진자 역량향상 과정,인재개발원,4.90 ,4.76 ,4.62 ,4.62 ,4.76 ,4.57 ,4.62 ,4.71 ,4.71 ,4.71 ,4.68 
31위,7월4주차,7.22.~7.25.,기본(기본),4,7·8급 승진자 역량향상 과정,인재개발원,4.79 ,4.63 ,4.58 ,4.63 ,4.67 ,4.71 ,4.67 ,4.75 ,4.71 ,4.68 ,4.66 
32위,3월5주차,3.26.~3.28.,직무(전문),1,지방의회 공무원 실무역량 향상 과정,인재개발원,4.67 ,4.83 ,4.75 ,4.75 ,4.42 ,4.58 ,4.67 ,4.67 ,4.67 ,4.67 ,4.66 
33위,3월3주차,"3.13.~3.14,",직무(공통),1,보조금 담당자 실무 과정,인재개발원,4.68 ,4.74 ,4.84 ,4.68 ,4.68 ,4.79 ,4.53 ,4.58 ,4.47 ,4.78 ,4.66 
34위,7월3주차,7.14.~7.18.,직무(인문·소양),3,미래설계 과정,인재개발원,4.83 ,4.72 ,-,4.67 ,4.78 ,4.39 ,4.72 ,4.75 ,4.72 ,4.75 ,4.65 
35위,7월3주차,7.16.~7.18.,직무(공통),2,명품 스피치 과정,인재개발원,4.73 ,4.80 ,4.87 ,4.60 ,4.67 ,4.47 ,4.67 ,4.60 ,4.60 ,4.71 ,4.65 
36위,3월4주차,3.19.~3.21.,핵심(디지털),1,업무용 오피스 활용 과정,인재개발원,4.75 ,4.71 ,4.71 ,4.79 ,4.71 ,4.54 ,4.68 ,4.63 ,4.54 ,4.67 ,4.65 
37위,3월2주차,3.5.~3.7.,기본(기본),1,전입공무원 역량향상 과정,인재개발원,4.67 ,4.63 ,4.63 ,4.67 ,4.57 ,4.57 ,4.63 ,4.70 ,4.73 ,4.67 ,4.64 
38위,3월2주차,3.7.,핵심(디지털),1,한글 활용 과정,인재개발원,4.68 ,4.71 ,4.75 ,4.64 ,4.68 ,4.54 ,4.61 ,4.63 ,4.64 ,4.70 ,4.64 
39위,2월5주차,2.26.~2.28.,직무(전문),1,지방소득세 실무 과정,인재개발원,4.89 ,4.56 ,4.44 ,4.56 ,4.78 ,4.56 ,4.56 ,4.67 ,4.67 ,4.89 ,4.63 
40위,3월5주차,3.26.~3.28.,기본(리더십),1,5급 관리자 리더십 과정,인재개발원,4.75 ,4.65 ,4.65 ,4.45 ,4.75 ,4.65 ,4.60 ,4.53 ,4.60 ,4.86 ,4.62 
41위,7월3주차,7.16.~7.18.,직무(전문),1,산림정책실무 과정,인재개발원,4.81 ,4.63 ,4.63 ,4.69 ,4.56 ,4.63 ,4.63 ,4.63 ,4.63 ,4.66 ,4.62 
42위,7월1주차,7.2.~7.4.,핵심(디지털),4,업무용 오피스 활용 과정,인재개발원,4.75 ,4.75 ,4.70 ,4.60 ,4.75 ,4.30 ,4.65 ,4.63 ,4.65 ,4.65 ,4.62 
43위,4월1주차,4.1.,핵심(디지털),1,엑셀 활용 과정,인재개발원,4.54 ,4.73 ,4.69 ,4.65 ,4.65 ,4.27 ,4.73 ,4.69 ,4.69 ,4.75 ,4.61 
44위,6월3주차,6.18.~6.20.,핵심(디지털),2,드론 이해와 실전 활용 과정,현장캠퍼스,4.82 ,4.47 ,4.47 ,4.47 ,4.59 ,4.53 ,4.76 ,4.71 ,4.76 ,4.80 ,4.61 
45위,3월5주차,3.26.~3.28.,직무(인문·소양),1,문화유산 이해 과정,현장캠퍼스,4.62 ,4.63 ,4.48 ,4.63 ,4.67 ,4.56 ,4.63 ,4.63 ,4.59 ,4.60 ,4.61 
46위,5월3주차,5.14.~5.16.,기본(기본),2,업무용 오피스 활용 과정,인재개발원,4.71 ,4.57 ,4.61 ,4.64 ,4.54 ,4.50 ,4.61 ,4.66 ,4.64 ,4.69 ,4.61 
47위,7월4주차,7.24.~7.25.,직무(공통),3,계약실무 과정,인재개발원,4.70 ,4.60 ,4.60 ,4.50 ,4.80 ,4.30 ,4.70 ,4.60 ,4.70 ,4.76 ,4.60 
48위,6월2주차,6.11.~6.13.,직무(공통),2,기획능력 향상 과정,인재개발원,4.70 ,4.60 ,4.65 ,4.70 ,4.80 ,4.55 ,4.60 ,4.65 ,4.65 ,4.85 ,4.60 
49위,5월1주차,4.30.~5.2.,기본(리더십),2,5급 관리자 리더십 과정,인재개발원,4.89 ,4.68 ,4.53 ,4.58 ,4.79 ,4.63 ,4.58 ,4.47 ,4.47 ,4.81 ,4.59 
50위,6월3주차,6.16.~6.18.,핵심(디지털),3,업무용 오피스 활용 과정,인재개발원,4.53 ,4.53 ,4.47 ,4.59 ,4.53 ,4.47 ,4.53 ,4.71 ,4.71 ,4.75 ,4.59 
51위,5월1주차,4.30.~5.2.,직무(공통),1,명품 스피치 과정,인재개발원,4.72 ,4.50 ,4.50 ,4.50 ,4.67 ,4.44 ,4.56 ,4.69 ,4.67 ,4.68 ,4.59 
52위,7월4주차,7.23.~7.25.,직무(공통),1,공공언어 바르게 쓰기 과정,인재개발원,4.62 ,4.54 ,4.62 ,4.54 ,4.77 ,4.54 ,4.62 ,4.65 ,4.69 ,4.76 ,4.59 
53위,3월3주차,3.11.~3.12.,직무(공통),2,계약실무 과정,인재개발원,4.55 ,4.70 ,4.65 ,4.55 ,4.65 ,4.40 ,4.60 ,4.68 ,4.70 ,4.70 ,4.58 
54위,4월2주차,4.9.~4.11.,직무(인문·소양),1,항노화산업 탐방 과정,인재개발원,4.73 ,4.54 ,4.38 ,4.58 ,4.54 ,4.58 ,4.38 ,4.67 ,4.65 ,4.72 ,4.58 
55위,7월3주차,7.18.,핵심(디지털),3,한글 활용 과정,인재개발원,4.77 ,4.59 ,4.59 ,4.59 ,4.68 ,4.64 ,4.59 ,4.39 ,4.36 ,4.74 ,4.58 
56위,4월3주차,4.18.,핵심(디지털),1,디자인 플랫폼 활용 과정,인재개발원,4.56 ,4.60 ,4.56 ,4.52 ,4.68 ,4.32 ,4.48 ,4.66 ,4.64 ,4.78 ,4.57 
57위,7월2주차,7.9.~7.11.,핵심(핵심과제),1,투자유치 활성화 과정,인재개발원,4.50 ,4.50 ,4.50 ,4.67 ,4.50 ,4.67 ,4.67 ,4.67 ,4.67 ,4.57 ,4.57 
58위,5월5주차,5.30.,핵심(디지털),2,한글 활용 과정,인재개발원,4.62 ,4.62 ,4.57 ,4.52 ,4.57 ,4.52 ,4.67 ,4.67 ,4.67 ,4.66 ,4.56 
59위,7월3주차,7.16.~7.18.,기본(기본),2,전입공무원 역량향상 과정,인재개발원,4.63 ,4.63 ,4.56 ,4.59 ,4.41 ,4.41 ,4.52 ,4.63 ,4.63 ,4.61 ,4.55 
60위,4월4주차,4.23.~4.25.,기본(리더십),3,시·군 팀장 리더십 과정,현장캠퍼스,4.65 ,4.60 ,4.55 ,4.60 ,4.60 ,4.60 ,4.45 ,4.60 ,4.60 ,4.57 ,4.55 
61위,3월4주차,3.4.~3.21.,기본(기본),1,신규 임용(후보)자 과정,인재개발원,4.53 ,4.57 ,4.52 ,4.53 ,4.58 ,4.42 ,4.57 ,4.60 ,4.61 ,4.62 ,4.55 
62위,4월1주차,4.1.,핵심(도민역량),3,보조금단체 회계실무 과정,인재개발원,4.53 ,4.47 ,4.47 ,4.63 ,4.68 ,4.37 ,4.53 ,4.63 ,4.63 ,4.57 ,4.54 
63위,4월3주차,3.31.~4.18.,기본(기본),2,신규 임용(후보)자 과정,인재개발원,4.57 ,4.50 ,4.43 ,4.43 ,4.45 ,4.50 ,4.55 ,4.71 ,4.71 ,4.51 ,4.53 
64위,3월4주차,3.19.~3.21.,직무(인문·소양),1,인생 2모작 준비 과정,인재개발원,4.68 ,4.57 ,4.43 ,4.54 ,4.64 ,4.50 ,4.57 ,4.55 ,4.54 ,4.71 ,4.53 
65위,3월3주차,3.12.~3.14.,직무(전문),1,기간제 근로자 관리자 과정,인재개발원,4.53 ,4.40 ,4.53 ,4.53 ,4.73 ,4.60 ,4.67 ,4.67 ,4.67 ,4.63 ,4.53 
66위,4월2주차,4.11.,직무(전문),1,성별영향평가 과정,인재개발원,4.63 ,4.47 ,4.59 ,4.18 ,4.59 ,4.59 ,4.59 ,4.56 ,4.47 ,4.73 ,4.52 
67위,5월2주차,5.8.,직무(전문),1,재난안전 관리자 과정,온라인,4.56 ,4.53 ,4.50 ,4.53 ,4.47 ,4.59 ,4.38 ,4.63 ,4.63 ,4.59 ,4.52 
68위,5월5주차,5.29.~5.30.,핵심(핵심과제),1,기후위기 적응·대응 과정,인재개발원,4.56 ,4.56 ,4.50 ,4.56 ,4.50 ,4.44 ,4.56 ,4.61 ,4.61 ,4.54 ,4.51 
69위,4월1주차,4.2.~4.4.,기본(기본),2,신규공무원 역량향상 심화 과정,인재개발원,4.47 ,4.43 ,4.47 ,4.47 ,4.30 ,4.57 ,4.57 ,4.67 ,4.63 ,4.62 ,4.51 
70위,6월2주차,6.11.~6.13.,직무(공통),3,재난관리 실무 과정,인재개발원,4.49 ,4.51 ,4.43 ,4.32 ,4.46 ,4.49 ,4.51 ,4.58 ,4.51 ,4.53 ,4.51 
71위,6월2주차,6.11.~6.13.,직무(공통),5,신규공무원 역량향상 심화 과정,인재개발원,4.54 ,4.57 ,4.54 ,4.43 ,4.43 ,4.34 ,4.40 ,4.56 ,4.49 ,4.59 ,4.50 
72위,5월1주차,5.2.,핵심(디지털),2,엑셀 활용 과정,인재개발원,4.52 ,4.48 ,4.48 ,4.55 ,4.55 ,4.28 ,4.45 ,4.57 ,4.55 ,4.64 ,4.48 
73위,3월2주차,3.6.~3.7.,직무(공통),1,계약실무 과정,인재개발원,4.65 ,4.47 ,4.53 ,4.35 ,4.53 ,4.29 ,4.35 ,4.56 ,4.53 ,4.72 ,4.48 
