교육과정,분류,학습차시,인정시간,평가유무
쉬운 공공언어는 국민의 권리,직무,1,0.15,없습니다
태풍_온대저기압화의 진단과예보,소양,1,0.15,없습니다
공직가치의 이해(국가관),소양,1,0.15,없습니다
인공지능의 개념과 특징,Gov-MOOC,3,1.65,없습니다
공무원이 알아야 할 ESG,직무,5,1.63,없습니다
인공지능의 이해,소양,2,1.55,없습니다
공무원 글쓰기 아카데미_기초편 종합해설영상,소양,3,1.53,없습니다
개인정보 해결사 백실장이 간다! 공인중개업,직무,3,1.5,없습니다
개인정보 해결사 백실장이 간다! 여행업,직무,3,1.5,없습니다
개인정보 해결사 백실장이 간다! 학원업,직무,3,1.5,없습니다
소상공인을 위한 개인정보 보호 이해하기,직무,3,1.5,없습니다
"소통의 신세계, 사물인터넷",소양,1,0.13,없습니다
색다른 생각으로 사회 문제를 혁신하다!,Gov-MOOC,1,0.13,없습니다
소방현장 대응기술,직무,10,1.43,없습니다
[끝내주는 보고서] 보고서 작성스킬 및 보고기법,소양,7,1.42,있습니다
개방형직위 공직입문 과정(좋은 보고서 사례와 작성법),소양,1,1.33,없습니다
표절예방과 저작권 기초 강좌,시책,3,1.33,없습니다
통일미래비전과 과제,Gov-MOOC,5,1.33,없습니다
행복한 노후준비의 이해,Gov-MOOC,5,1.33,없습니다
숲으로 잘 사는 산림 르네상스 시대,Gov-MOOC,2,1.33,없습니다
실패를 대하는 새로운 관점(무한도전 김태호 PD),Gov-MOOC,3,1.33,없습니다
방화복 착용법,직무,1,0.12,없습니다
위기의 SNS,소양,1,0.12,없습니다
[끝내주는 보고서] 유형별 보고 Skill 및 PREP 기법,Gov-MOOC,1,0.12,없습니다
정부 규제혁신,직무,5,1.28,없습니다
근무성적평정 평가제도,Gov-MOOC,1,1.25,없습니다
글로벌 트렌드 리터러시,Gov-MOOC,2,1.25,없습니다
한국독립운동의 역사,시책,21,12.43,없습니다
태풍_지역사회의허리케인대비하기,소양,1,1.22,없습니다
슬기로운 공무원 생활,시책,12,1.22,없습니다
"글로벌 산업변화, 이제는 초격차 시대",Gov-MOOC,1,1.2,없습니다
"청렴, 다른 나라는 어떨까?",소양,2,1.18,있습니다
통계로 보는 노동 분야 젠더 이슈,시책,2,1.17,없습니다
역량의 이해,Gov-MOOC,2,1.17,없습니다
2024년 하반기 명사특강 TOD,직무,1,0.1,없습니다
개방형직위 공직입문 과정(성과평가 가이드),시책,1,1.15,없습니다
공공갈등의 효과적인 예방책을 위하여,Gov-MOOC,1,1.12,없습니다
누구나 글을 잘 쓸 수 있다,소양,1,1.1,없습니다
개인정보 안전성 확보조치,직무,2,1.08,없습니다
MZ세대와 소통하기,Gov-MOOC,5,1.08,없습니다
"최초에서 최고로, 공정무역도시 인천 바로알기",시책,4,1.07,없습니다
밀레니얼 세대의 이해(working with MZ generation),Gov-MOOC,2,1.07,없습니다
비상하는 코끼리 인도 이해하기,Gov-MOOC,2,1.07,없습니다
AI시대 베트남 디지털 전환의 중요성,직무,1,1.05,없습니다
공무원을 위한 챗GPT 활용방법,디지털,3,1.05,없습니다
차별금지법은 왜 필요한가2,시책,1,1.03,없습니다
"저작권 이슈와 이용가이드(폰트, 공연권, SW관리)",소양,3,1.02,없습니다
"역사 속에서의 외교 안보, 어떻게 바뀌었나",Gov-MOOC,1,1.02,없습니다
전자인사관리시스템(e-사람) 부서장용 매뉴얼,Gov-MOOC,1,0.08,없습니다
클라우드 컴퓨팅이 가져온 비즈니스 혁신,소양,1,0.98,없습니다
초등아이 감정 사용법,소양,1,0.97,없습니다
틀을 깨는 인간 창의성의 비밀,소양,1,0.97,없습니다
"로컬로 창조하라, 골목길 경제학자가 알려주는 로컬 브랜딩",Gov-MOOC,1,0.97,없습니다
우리가 반드시 지켜야 할 역사와 문화,소양,1,0.95,없습니다
장애인 미디어 접근 인식 개선 강좌,소양,1,0.95,없습니다
소통과 통합으로 일 잘하는 정부,Gov-MOOC,1,0.95,없습니다
효율적으로 일 잘하는 정부,시책,1,0.93,없습니다
"고령화-적신호 인구, 청신호 정책으로 해법찾기",Gov-MOOC,1,0.93,없습니다
스마트 규제혁신으로 경제에 활력을 불어넣자!,Gov-MOOC,1,0.93,없습니다
지역주도 균형발전 한시가 급하다,Gov-MOOC,1,0.93,없습니다
"보고서 작성법, [공무원보고서 작성의 정석]",직무,1,0.92,없습니다
우리가 간과한 다양성,직무,1,0.92,없습니다
사춘기 자녀와의 슬기로운 대화,소양,1,0.92,없습니다
국내외 식량안보 강화,Gov-MOOC,1,0.92,없습니다
스마트농업을 통한 농업 혁신,Gov-MOOC,1,0.92,없습니다
"저출산-적신호 인구, 청신호 정책으로 해법찾기",Gov-MOOC,1,0.92,없습니다
다면평가 제대로 알기,시책,4,0.9,있습니다
맞춤형 일자리 확대! 스마트 일터 문화 혁신!,Gov-MOOC,1,0.9,없습니다
사고사례로 보는 철도시스템의 이해,시책,15,9,있습니다
"보고서 기획의 기본, 생각정리스킬",직무,1,0.88,없습니다
차별금지법은 왜 필요한가1,시책,1,0.88,없습니다
태풍_허리케인내습,소양,1,0.87,없습니다
인공지능과 사회문제,Gov-MOOC,1,0.87,없습니다
한눈에 읽히는 보고서의 원리,Gov-MOOC,1,0.87,없습니다
한국 독립운동과 여성,시책,15,8.68,없습니다
지금 꼭 배워야 할 국제정세의 모든 것,소양,1,0.85,없습니다
행정법제 혁신으로 국민의 삶을 편리하게!,Gov-MOOC,1,0.85,없습니다
공무원 글쓰기 아카데미 1부_4차,소양,1,0.83,없습니다
진정한 리더는 누구인가 『펠로폰네소스 전쟁사』,소양,1,0.83,없습니다
지식재산 생태계 혁신전략,시책,1,0.83,없습니다
16. 개방형직위 공직입문 과정(정책소통Ⅰ),Gov-MOOC,1,0.83,없습니다
개방형직위 공직입문 과정 (정책소통1),Gov-MOOC,1,0.83,없습니다
개방형직위 공직입문 과정 (정책소통2),Gov-MOOC,1,0.83,없습니다
고령화로 인한 과제 및 대책은?,Gov-MOOC,1,0.83,없습니다
글로벌 중추 국가로서의 한국의 역할,Gov-MOOC,1,0.83,없습니다
"뉴노멀 생존전략, 디지털리터러시",Gov-MOOC,1,0.83,없습니다
대학 창업에서 글로벌 유니콘까지!,Gov-MOOC,1,0.83,없습니다
민간이 끌고 정부가 미는 산업정책,Gov-MOOC,1,0.83,없습니다
서류제출을 위해 허비하는 시간을 국민께 돌려드리겠습니다!,Gov-MOOC,1,0.83,없습니다
이야기로 배우는 빅데이터 및 데이터리터러시,소양,3,0.82,없습니다
"헌법과 공직가치, 지방시대를 여는 정부의 역할",Gov-MOOC,1,0.82,없습니다
정부재정과 예산,직무,1,0.8,없습니다
한반도 통일의 이해,시책,1,0.8,없습니다
글로벌 시대의 한국과 공직자,Gov-MOOC,1,0.8,없습니다
방위산업기술보호의 중요성 및 법규,Gov-MOOC,4,0.8,없습니다
"전 세계가 인정한 K-콘텐츠, 신한류를 말하다",Gov-MOOC,1,0.8,없습니다
"사람을 움직이는 유일한 방법, 소통과 공감",Gov-MOOC,7,0.78,있습니다
5급사무관 역량이론학습,직무,1,0.78,없습니다
인정받는 사람들의 말습관,소양,1,0.78,없습니다
AI 반도체 중심의 디지털 혁신,시책,1,0.78,없습니다
국회업무 가이드,시책,1,0.78,없습니다
디지털플랫폼 정부란,Gov-MOOC,1,0.78,없습니다
마약 없는 건강 사회로 국민의 일상을 행복하게!,Gov-MOOC,1,0.78,없습니다
OECD 다국적 기업 가이드라인 해설,Gov-MOOC,1,0.78,없습니다
개방형직위 공직입문 과정(국회업무 가이드),시책,1,0.77,없습니다
디지털트렌드,소양,10,0.75,없습니다
시대의 변화에 맞게 지역축제도 변해야 산다,Gov-MOOC,1,0.75,없습니다
이메일 작성 요령 (Writing Skills for Emails),Gov-MOOC,1,0.75,없습니다
17. 개방형직위 공직입문 과정(정책소통 Ⅱ),Gov-MOOC,1,0.73,없습니다
AI 시대가 가져올 섬뜩한 미래,Gov-MOOC,1,0.73,없습니다
수소에너지의 이해,시책,5,0.72,없습니다
글로벌 경쟁 속 한국 K-방산의 미래,Gov-MOOC,1,0.72,없습니다
법의학자가 바라보는 삶과 죽음,Gov-MOOC,1,0.72,없습니다
블록체인과 NFT의 이해,Gov-MOOC,1,0.72,없습니다
"인공지능과 공공서비스 혁신, 무엇부터 시작할까?",Gov-MOOC,1,0.72,없습니다
"데이터 리더의 D.Live, 궁금증에 답하다",시책,1,0.7,없습니다
개방형직위 공직입문 과정(정책홍보),시책,1,0.7,없습니다
기후변화와 질환,시책,1,0.7,없습니다
소셜마인드의 진화,Gov-MOOC,1,0.7,없습니다
공무원 글쓰기 아카데미 3부_4차,소양,1,0.68,없습니다
조직을 변화시키는 ‘긍정의 힘’,소양,1,0.68,없습니다
국민이 바라는 새로운 공무원 인재상,소양,4,0.68,없습니다
노동시장 진단과 노동개혁 방향,Gov-MOOC,1,0.68,없습니다
행복한 리더를 위한 스트레스 다스리기,Gov-MOOC,1,0.68,없습니다
도서관마케팅과 홍보,시책,12,6.92,없습니다
"저출산 고령화, 사회학적 시각으로 진단한 축소사회",시책,1,0.67,없습니다
천체사진가의 별에 관한 모든 이야기,Gov-MOOC,1,0.67,없습니다
변화하는 중국 정세와 한중 관계의 새로운 방향 모색,Gov-MOOC,1,0.67,없습니다
"인사, 복무제도",직무,1,0.65,없습니다
"수산물 소비활성화, 주요 정책",직무,1,0.65,없습니다
마음을 담아 쓴 글 목민심서,소양,1,0.65,없습니다
"개방형직위 공직입문 과정(인사, 복무제도)",시책,1,0.65,없습니다
국가유산청 출범이 가져올 변화,Gov-MOOC,1,0.65,없습니다
"위대한 유산, 가장 한국적인 예술 국악의 모든 것",Gov-MOOC,1,0.65,없습니다
차원이 다른 디지털커뮤니케이션,소양,1,0.63,없습니다
개방형직위 공직입문 과정(공직가치),시책,1,0.63,없습니다
북한 1퍼센트 엘리트의 치열한 탈북스토리,Gov-MOOC,1,0.63,없습니다
보도자료 작성실무,직무,5,0.62,없습니다
정책홍보,직무,1,0.62,없습니다
"약자와 동행해야 하는 경제적, 그리고 철학적인 이유",시책,1,0.6,없습니다
"중국의 동북공정, 한국의 시각과 대응 전략",시책,1,0.6,없습니다
혁신을 이끄는 일잘러의 성공 비법,직무,1,0.58,없습니다
개방형직위 공직입문 과정(정부와 공직의 이해),시책,1,0.58,없습니다
공직가치,시책,1,0.58,없습니다
"노동시장 약자 보호, 지속가능한 노동시장 구축",Gov-MOOC,1,0.58,없습니다
미래 과학기술과 반도체,Gov-MOOC,1,0.58,없습니다
북한과 러시아의 군사협력이 한반도 안보에 미치는 영향,Gov-MOOC,1,0.58,없습니다
e-월드엑스포 이해 및 동참,소양,1,0.57,없습니다
1호 탈북 외교관이 북한을 말하다,Gov-MOOC,1,0.57,없습니다
인권경영 국내외 동향,시책,1,0.55,없습니다
개방형직위 공직입문 과정(공직적응 노하우),시책,1,0.55,없습니다
글로벌 성공사례로 배우는 공직 리더십의 비밀,Gov-MOOC,1,0.55,없습니다
러시아-우크라이나 전쟁으로 본 현대전 양상,Gov-MOOC,1,0.55,없습니다
"외교관 출신 미국 변호사의 해외 유학과 취업, 생활 여정",Gov-MOOC,1,0.53,없습니다
이스라엘-하마스 전쟁의 이해: 역사적 맥락과 시사점,Gov-MOOC,1,0.53,없습니다
"글로벌 중추국가, 한국의 외교전략",Gov-MOOC,1,0.52,없습니다
개인정보 보호법 주요 법 개정사항,직무,1,0.5,없습니다
온나라 문서 시스템 이용가이드,직무,1,0.5,없습니다
"e-상호존중하는 건강한 일터, 직장 내 괴롭힘 예방.대응 교육",소양,1,0.5,없습니다
시니어 창업자를 위한 저작권 노하우,소양,3,0.5,없습니다
청소년 예비 창업자를 위한 저작권 노하우,시책,3,0.5,없습니다
"On세상 지식탐구생활, 안녕! 가치 말해요",Gov-MOOC,1,0.5,없습니다
한미일 3국협력,Gov-MOOC,1,0.5,없습니다
온택트 기반 공공HRD 교육혁신 설계,Gov-MOOC,1,0.5,없습니다
중소벤처가 주도하는 디지털 경제 시대,Gov-MOOC,1,0.5,없습니다
정책프로세스 1 (이론편),직무,1,0.48,없습니다
개방형직위 공직입문 과정(정책프로세스(이론편)),시책,1,0.48,없습니다
공공기관 녹색제품 의무구매제도,직무,2,0.43,없습니다
8.15 통일 독트린,시책,1,0.43,없습니다
피터 드러커가 살아있다면 무슨 말을 할까?,Gov-MOOC,1,0.4,없습니다
과장급 표준역량과 역량평가의 이해,소양,12,4.13,없습니다
기록관리 기본교육,직무,3,0.38,없습니다
e-가덕도신공항 새로운 길을 열다,소양,1,0.38,없습니다
정부 청년인턴이 궁금하신가요?,시책,2,0.38,없습니다
메타버스 윤리교육,소양,1,0.37,없습니다
공무원의 정치적 중립과 공직선거,시책,3,0.37,없습니다
직장인 대상 도박문제 예방교육,시책,1,0.37,없습니다
오염수 대응 프로젝트,시책,1,0.37,없습니다
디지털 기반의 비대면 교수학습 모형 및 교육과정 설계 방안,Gov-MOOC,1,0.37,없습니다
이중언어 환경조성의 이해,직무,6,3.67,없습니다
"Conservation  and  Restoration  of  the  Korean  Historic  Garden  /
역사정원의 보존과 복원",시책,10,3.62,없습니다
[끝내주는 파워포인트] 프레젠테이션 제작스킬 및 발표기법,소양,7,0.33,있습니다
갑질근절프로젝트(갑질왕 진부장),직무,1,0.33,없습니다
"공간정보, 아직도 생소하세요?",직무,1,0.33,없습니다
[명강의선집] 인간의 경제학,소양,1,0.33,없습니다
"눈 오는 날, 좋아하세요?",소양,1,0.33,없습니다
"[명강의선집]4차산업혁명시대, 디지털 리터러시 정책 방향",시책,1,0.33,없습니다
메타버스의 교육과정 설계와 활용,Gov-MOOC,1,0.33,없습니다
전자인사관리시스템(e-사람) 개인용 매뉴얼,Gov-MOOC,1,0.33,없습니다
쉬는 시간 스트레칭 영상,소양,2,0.32,없습니다
허위정보 대응 역량 강화 프로젝트(팩트체크 교육),시책,1,0.32,없습니다
"[온세상 온통Live] 적신호 인구위기, 솔루션 TALK 저출산편",소양,1,0.3,없습니다
스마트폰 과의존과 그 위험성,소양,1,0.3,없습니다
자동차 튜닝에 승인이 꼭 필요한가요?,소양,1,0.3,없습니다
국가공무원의 겸직허가 제도 이해,시책,2,0.3,없습니다
국토교통부 '조직문화 선진화 과정' 개발 및 운영사례,Gov-MOOC,1,0.3,없습니다
국제개발협력(ODA) 평가교육 기본과정,시책,5,3.05,없습니다
아래층에 불이 나면 우리집은 안전할까？,직무,1,0.28,없습니다
"[온세상 온통Live] 적신호 인구위기, 솔루션 TALK 고령화편",소양,1,0.28,없습니다
공직자를 위한 English writing skills,소양,3,0.28,없습니다
개방형직위 공직입문 과정(온나라시스템 이용 가이드),시책,1,0.28,없습니다
데이터 기반 정책과 조정을 통한 갈등 해결 전략,Gov-MOOC,3,2.93,없습니다
공공 마이데이터 서비스 이해 및 실무 교육,직무,5,2.87,없습니다
행정심판 청구부터 재결까지 핵심정리,직무,1,0.27,없습니다
자유와 연대,소양,1,0.27,없습니다
공직자 행동강령,시책,1,0.27,없습니다
저출산 고령화의 문명사적 해석,시책,1,0.27,없습니다
"全 공무원이 물어보고, TF가 답하는 디지털플랫폼정부 핵심Q＆A",시책,1,0.27,없습니다
역량평가 민간 후보자를 위한 공직의 이해,직무,1,0.25,없습니다
"e-핵심비전, 글로벌허브도시 부산",직무,1,0.23,없습니다
"동물들의 무브 투 헤븐, 로드킬",직무,1,0.23,없습니다
"[끝내주는 파워포인트] 메라비언의 법칙, 음성 표현 및 발음과 신체표현",시책,1,0.23,없습니다
