부서,직책,전화번호,담당업무
경상남도 인재개발원,인재개발원장,055-254-2100,"""인재개발원 업무 총괄"""
경상남도 인재개발원 인재개발지원과,인재개발지원과장,055-254-2010,"""인재개발지원과 업무 총괄"""
경상남도 인재개발원 인재개발지원과,총무담당,055-254-2012,"""총무담당 업무 총괄"", ""주요업무 기획·조정"", ""지출업무(지출원)"", ""도의회 관련업무"", ""직원복무 및 후생복지 관리"""
경상남도 인재개발원 인재개발지원과,총무담당 주무관,055-254-2013,"""주요업무계획 수립"", ""종합감사, 도지사 공약, 지시사항 처리 등"", ""도의회 관련 업무보고, 행정사무감사 등"", ""실국원장회의, 원내 간부회의"", ""임기제공무원 및 공무직근로자 채용"", ""정책과제 평가 기본계획(성과관리)"", ""세입·세출외 출납원"""
경상남도 인재개발원 인재개발지원과,총무담당 주무관,055-254-2096,"""구내식당 운영 및 위생관리"", ""음식 조리지도감독 및 조리원 위생교육(월1회)"", ""주·부식 납품검수 및 재고관리"", ""주방기기 및 정수기 가스설비 관리"", ""음식물류 폐기물 용역 관리"", ""식재료 납품업체 선정 및 관리"", ""중대재해 예방 업무(구내식당)"""
경상남도 인재개발원 인재개발지원과,총무담당 주무관,055-254-2026,"""도서실 운영·관리, 도서실 개방관련 업무"", ""도서구입 및 열람·대출"", ""도서관리 개인정보보호시스템 기능개선사업 등"", ""상시학습관리 및 청렴 업무"""
경상남도 인재개발원 인재개발지원과,총무담당 주무관,055-254-2017,"""교육환경 개선 계획 수립"", ""시설공사 감독 및 시설물 유지"", ""중대재해 예방 업무(시설용역, 공사)"", ""강의실, 대강당 대여 업무"", ""계약 관련 업무(일반지출 제외)"""
경상남도 인재개발원 인재개발지원과,총무담당 주무관,055-254-2014,"""의무실 운영 관리(서부청사 포함)"", ""원내 감염병 예방 관리"", ""숙소동 생활지도교수 지정·운영"", ""숙소동 숙박료 징수 및 숙소 배정"", ""후생복지운영위원회 업무"", ""2주간업무계획, 일정관리"", ""교육훈련부담금 부과·징수"""
경상남도 인재개발원 인재개발지원과,총무담당 주무관,055-254-2025,"""관용차량 운전(승합, 승용), 문서 수발"", ""운행일지, 유류 수불정리"""
경상남도 인재개발원 인재개발지원과,총무담당 주무관,055-254-2015,"""예산·회계 및 일반지출 업무"", ""세입세출외현금 담당자"", ""세외수입 관련 업무"""
경상남도 인재개발원 인재개발지원과,총무담당 주무관,055-254-2016,"""급여(직원, 공무직, 기간제) 및 연말정산"", ""원 내 일반서무 및 공인 관리"", ""보안 및 비밀취급 업무(을지, 충무 등)"", ""물품 관리 및 재물조사"""
