교과목,교육과정,교육주차,강사강의 만족도,순위
중국어,제21기 중견리더 과정,2024년 10월 5주차,5,1위
중국어,제21기 중견리더 과정,2024년 11월 5주차,5,1위
시설소개 및 승마 안전수칙,제1기 승마 과정,2024년 9월 4주차,5,1위
승마기초 이론,제1기 승마 과정,2024년 9월 4주차,5,1위
승하마 및 평보,제1기 승마 과정,2024년 9월 4주차,5,1위
승마강습(평보),제1기 승마 과정,2024년 9월 4주차,5,1위
승마강습(평보 및 속보),제1기 승마 과정,2024년 9월 4주차,5,1위
승마강습(속보),제1기 승마 과정,2024년 9월 4주차,5,1위
모의 면접 실습,제1기 면접관 양성 과정,2024년 7월 1주차,5,1위
강사의 자세와 역할,제1기 강사양성 과정,2024년 4월 4주차,5,1위
강의 교안 구성 및 제작,제1기 강사양성 과정,2024년 4월 4주차,5,1위
강의 스킬,제1기 강사양성 과정,2024년 4월 4주차,5,1위
강의 시연 및 피드백,제1기 강사양성 과정,2024년 4월 4주차,5,1위
교육기획 및 강의 설계,제1기 강사양성 과정,2024년 4월 4주차,5,1위
전달력 스킬,제1기 강사양성 과정,2024년 4월 4주차,5,1위
마음열기,제4기 소통과 공감 과정,2024년 7월 3주차,5,1위
우리 함께 어울림,제4기 소통과 공감 과정,2024년 7월 3주차,5,1위
우리조직은? 전사적 참견 시점,제4기 소통과 공감 과정,2024년 7월 3주차,5,1위
조직 내 세대차이 인정과 극복,제4기 소통과 공감 과정,2024년 7월 3주차,5,1위
비전만들기,제3기 과장급 필수 역량향상 과정,2024년 9월 2주차,4.9825,20위
면접기법 및 스킬(이론),제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접 질문 만들기,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접관의 역할 및 자세,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접관의 역할 및 자세(이론),제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접기법 및 스킬,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
면접사례분석,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
평가자 오류,제1기 면접관 양성 과정,2024년 7월 1주차,4.9775,21위
홍보 업무 능력 2배 향상시키기,제1기 업무용 오피스 활용 과정,2024년 3월 2주차,4.97,28위
의사소통 및 조직관리 코칭,제3기 과장급 필수 역량향상 과정,2024년 9월 2주차,4.965,29위
한글 초급2,제1기 한글 활용 과정,2024년 4월 2주차,4.96,30위
기본 보이스 트레이닝,제2기 명품 스피치 과정,2024년 11월 5주차,4.955,31위
신임팀장 비전 만들기,제3기 시·군 팀장 리더십 과정,2024년 4월 4주차,4.955,31위
마음열기,제6기 소통과 공감 과정,2024년 8월 5주차,4.955,31위
엑셀 고급 활용능력 향상,제1기 업무용 오피스 활용 과정,2024년 3월 2주차,4.9525,34위
홍보플랫폼 안내 및 우수사례,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.95,35위
한글 활용능력 2배 활용,제1기 업무용 오피스 활용 과정,2024년 3월 2주차,4.945,36위
화합의 장(조직진단),제10기 소통과 공감 과정,2024년 11월 5주차,4.941176471,37위
팀장의 보고 및 발표스킬,제3기 시·군 팀장 리더십 과정,2024년 4월 4주차,4.94,38위
갈등 해결 및 성과 창출 리더십,제3기 시·군 팀장 리더십 과정,2024년 4월 4주차,4.94,38위
홍보 기획 및 스토리 보드 작성,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.94,38위
홍보영상 제작2,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.94,38위
홍보영상 기초편집,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.94,38위
홍보영상 고급편집,제2기 1인 방송과 영상제작 과정,2024년 11월 4주차,4.94,38위
소통의 장(세대차이에 대한 인정과 소통),제2기 소통과 공감 과정,2024년 4월 4주차,4.94,38위
실천의 장(세대공감 및 실천방안 만들기),제2기 소통과 공감 과정,2024년 4월 4주차,4.94,38위
화합의 장(조직진단),제2기 소통과 공감 과정,2024년 4월 4주차,4.94,38위
협업의 장(조직 내 공동목표 선정),제6기 소통과 공감 과정,2024년 8월 5주차,4.94,38위
마음열기,제9기 소통과 공감 과정,2024년 10월 5주차,4.94,38위
우리 함께 어울림1,제9기 소통과 공감 과정,2024년 10월 5주차,4.94,38위
우리 함께 어울림2,제9기 소통과 공감 과정,2024년 10월 5주차,4.94,38위
우리조직은? 전사적 참견 시점,제9기 소통과 공감 과정,2024년 10월 5주차,4.94,38위
